StoreName,CityName,Street Address,Longitude,Latitude,province,cityE
北京凯恒店,北京市,"东城区, 远大路1号",116.43,39.92,Beijing,Beijing
北京远大路第三咖啡店,北京市,"海淀区, 金源燕莎mall首层, 中关村大街19号",116.29,39.96,Beijing,Beijing
北京海淀新中关大厦店,北京市,"海淀区, 新中关大厦首层L128A号, 建国路93号院A座万达广场东区",116.32,39.98,Beijing,Beijing
北京万达广场店,北京市,"朝阳区, 新世界彩旋百货首层, 东北旺西路8号",116.47,39.91,Beijing,Beijing
北京东北旺西路咖啡店,北京市,"海淀区, 4号楼一层101-01, 阜石路300号",116.3,40.05,Beijing,Beijing
北京阜石路第一咖啡店,北京市,"石景山区, 一层101单元, 莲宝中路西侧",116.17,39.92,Beijing,Beijing
北京万丰路咖啡店,北京市,"丰台区, 万丰路68号和谐广场一层, 东四环中路56号",116.3,39.88,Beijing,Beijing
北京远洋天地店,北京市,"朝阳区, 远洋国际中心A座首层109号单元, 远大路1号",116.49,39.91,Beijing,Beijing
北京远大路金源燕莎2店,北京市,"海淀区, 北京燕莎友谊商城金源店地下一层, 苏州街3号，+C148",116.29,39.96,Beijing,Beijing
北京大恒科技大厦店,北京市,"海淀区, 大恒科技大厦首层, 王府井大街301号",116.31,39.98,Beijing,Beijing
北京金街咖啡店,北京市,"东城区, 新燕莎金街购物中心一层MF105-1、MF105-2商铺, 日坛路6号",116.41,39.91,Beijing,Beijing
北京新族大厦店,北京市,"朝阳区, 新族大厦首层1B, 太阳宫中路12号",116.44,39.91,Beijing,Beijing
北京太阳宫中路第二店,北京市,"朝阳区, 大堂第一层, 北京南站",116.45,39.97,Beijing,Beijing
北京南站第二咖啡店,北京市,"丰台区, 换乘层中区商业面向地铁南口西侧, 清华东路2号",116.38,39.86,Beijing,Beijing
北京金码大厦店,北京市,"海淀区, 金码大厦A座首层, 建国路93号",116.35,40.0,Beijing,Beijing
北京万达广场2店,北京市,"朝阳区, 万达广场B座3层, 建国路89号院",116.47,39.91,Beijing,Beijing
北京华贸二店,北京市,"朝阳区, 北京华贸19号楼一层102单元, 空港街道安泰大街6号院",116.48,39.91,Beijing,Beijing
北京祥云东方苑二店,北京市,"顺义区, 11号楼107, 北兴路2号1幢",116.54,40.09,Beijing,Beijing
北京大兴星光影视基地店,北京市,"大兴区, 上地东路1号院7号楼",116.36,39.77,Beijing,Beijing
北京上地东路店,北京市,"海淀区, 环洋大厦1层东101单元, 丰葆路88号",116.3,40.05,Beijing,Beijing
北京丰葆路店,北京市,"丰台区, 1号楼, 中关村大街11号一层A1500A单元",116.29,39.82,Beijing,Beijing
北京中关村亿世界店,北京市,"海淀区, 西红门宏福路",116.32,39.98,Beijing,Beijing
北京宏福路咖啡店,北京市,"大兴区, 鸿坤生活广场一层, 金融大街9号楼",116.34,39.79,Beijing,Beijing
北京金融大街店,北京市,"西城区, 1层106-01单元, 东直门48号银座广场",116.36,39.92,Beijing,Beijing
北京东直门第一咖啡店,北京市,"东城区, L3层23号商铺, 金宝街89号",116.44,39.94,Beijing,Beijing
北京东城区金宝大厦店,北京市,"东城区, 金宝大厦写字楼一层04商铺, 七圣中街12号院2号楼",116.42,39.92,Beijing,Beijing
北京七圣中街咖啡店,北京市,"朝阳区, 爱琴海购物中心一层101内F1007, 霄云路36号",116.44,39.97,Beijing,Beijing
北京国航大厦店,北京市,"朝阳区, 国航大厦一层, 丰北路甲79号楼",116.46,39.96,Beijing,Beijing
北京丰北路咖啡店,北京市,"丰台区, 华堂商场1层1-001单元, 天竺房地产开发区",116.29,39.87,Beijing,Beijing
北京日祥广场店,北京市,"顺义区, 日祥广场, 东方东路19号外交公寓A座会所2号商铺",116.55,40.06,Beijing,Beijing
北京东方东路外交公寓店,北京市,"朝阳区, 龙山东路2号院",116.46,39.95,Beijing,Beijing
北京龙山东路咖啡店,北京市,"怀柔区, 1号楼一层03单元, 朝阳公园6号11号楼",116.63,40.32,Beijing,Beijing
北京蓝色港湾第二咖啡店,北京市,"朝阳区, 成府路28号",116.48,39.95,Beijing,Beijing
北京五道口购物中心店,北京市,"海淀区, 1层101-10B及2层201-09号, 永定门外大街",116.34,39.99,Beijing,Beijing
北京南站第一咖啡店,北京市,"丰台区, 北京南站首层, 三丰北里5号楼",116.38,39.86,Beijing,Beijing
北京朝外第二店,北京市,"朝阳区, 01层（01）101中119号, 北辰东路8号1号楼B07",116.44,39.92,Beijing,Beijing
北京北辰东路店,北京市,"朝阳区, 朝阳北路101号楼L1-02号",116.41,39.99,Beijing,Beijing
北京朝阳大悦城店,北京市,"朝阳区, 科学院南路6号",116.52,39.92,Beijing,Beijing
北京科学院南路店,北京市,"海淀区, 融科资讯中心B座1层019单元, 北辰东路8号院",116.33,39.98,Beijing,Beijing
北京北辰东路第二咖啡店,北京市,"朝阳区, 16号楼一层101单元, 京顺路111号",116.41,39.99,Beijing,Beijing
北京京顺路咖啡店,北京市,"朝阳区, 比如世界京顺路店首层05号, 呼家楼1号",116.46,39.97,Beijing,Beijing
北京呼家楼咖啡店,北京市,"朝阳区, 京广商务中心1层, 东三环中路5号楼",116.46,39.92,Beijing,Beijing
北京财富中心三店,北京市,"朝阳区, 北京财富金融中心B1层, 石景山路乙18号院4号楼",116.46,39.92,Beijing,Beijing
北京石景山万达广场店,北京市,"北京市, 石景山万达广场一层, 上地西路6号",116.23,39.91,Beijing,Beijing
北京上地西路咖啡店,北京市,"海淀区, 联想科技园区内, 大兴区旧宫忠凉路1号院1号楼",116.3,40.05,Beijing,Beijing
北京旧宫万科咖啡店,北京市,"北京市, 住总万科广场一层L1001、L1002号, 东三环中路7号",116.46,39.81,Beijing,Beijing
北京财富中心店,北京市,"朝阳区, 财富中心一期写字楼首层E103, 建国路91号",116.46,39.92,Beijing,Beijing
北京金地中心店,北京市,"朝阳区, 金地中心L2层L201店铺, 建国路79号",116.47,39.91,Beijing,Beijing
北京华贸店,北京市,"朝阳区, 北京华贸购物中心L121及L223&224#, 颐和园路206号206-14、15、16",116.48,39.91,Beijing,Beijing
北京龙湖天街店,北京市,"海淀区, 西大望路15号",116.29,40.0,Beijing,Beijing
北京西大望路第一店,北京市,"朝阳区, 4号楼商业1（01层）内01号, 西四环南路103号院1号",116.48,39.89,Beijing,Beijing
北京西四环南路咖啡店,北京市,"丰台区, 资和信百货商场F1-1024, 南四环西路118号一区31号楼",116.29,39.84,Beijing,Beijing
北京南四环西路咖啡店,北京市,"丰台区, 1层（01）101区域内的01单元, 东大桥路9号",116.29,39.83,Beijing,Beijing
北京芳草地大厦咖啡店,北京市,"朝阳区, D座一层, 清河中街68号",116.45,39.92,Beijing,Beijing
